max_positions,picks_per_day,sizing,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,avg_positions,max_positions_used,pct_fully_invested,score
8,3,Tiered,339.09744652522613,44.79389650740537,1.2300960261162177,1.931562569025595,1.4766911570623875,-30.33396407446145,52.184087363494534,7.892764839603924,-6.312340632005229,1.1004640173758338,1.3645968991811994,1282,439097.4465252262,26.728821917808222,7.940239043824701,8,96.21513944223108,0.42610294117647063
10,1,Equal,224.99433890524517,34.293996698703126,1.3677315581163902,2.2179861680752078,1.8621149769925307,-18.416691301248626,51.9,8.466913432123278,-6.389776571648381,1.3208455403091097,1.4297553433288297,1000,324994.3389052452,20.84931506849315,6.161354581673307,7,0.0,0.5856617647058824
10,1,Prob,224.99433890524517,34.293996698703126,1.3677315581163902,2.2179861680752078,1.8621149769925307,-18.416691301248626,51.9,8.466913432123278,-6.389776571648381,1.3208455403091097,1.4297553433288297,1000,324994.3389052452,20.84931506849315,6.161354581673307,7,0.0,0.5856617647058824
10,1,Kelly,306.73016427387483,42.04662806970323,1.3497887307523038,2.1810827413789355,1.8546888814533242,-22.670448122143117,51.9,8.466970170831866,-6.389754161000036,1.3208857672207215,1.4297699390278809,1000,406730.1642738748,20.84931506849315,6.161354581673307,7,0.0,0.6213235294117646
10,1,Tiered,224.99433890524517,34.293996698703126,1.3677315581163902,2.2179861680752078,1.8621149769925307,-18.416691301248626,51.9,8.466913432123278,-6.389776571648381,1.3208455403091097,1.4297553433288297,1000,324994.3389052452,20.84931506849315,6.161354581673307,7,0.0,0.5856617647058824
10,2,Equal,302.8514506709074,41.70652679563829,1.2396477669485162,1.99185942672327,1.40796219992284,-29.621908029863242,51.97411003236246,7.866249798532396,-6.2840540396192335,1.070440447135302,1.3546885575860248,1545,402851.4506709074,32.21219178082192,9.580677290836654,10,76.09561752988047,0.3786764705882353
10,2,Prob,303.06072200949575,41.72493907169221,1.2384169016105047,1.989705762734255,1.3796427017057233,-30.243293441197146,51.97411003236246,7.86624363793828,-6.284055677622189,1.0704364585558408,1.3546871435244108,1545,403060.7220094957,32.21219178082192,9.580677290836654,10,76.09561752988047,0.3669117647058824
10,2,Kelly,314.5743417747652,42.72707276755221,1.2190360549313302,1.9642026538058552,1.2401595747304541,-34.45288303066873,52.670226969292386,7.718985288576352,-6.259729180396873,1.1028914578006406,1.3722569431927227,1498,414574.34177476517,31.232273972602744,9.302788844621514,10,53.98406374501992,0.3691176470588235
10,2,Tiered,316.6712350258712,42.90733125516748,1.2515137944483816,2.0047662524386154,1.4059046973160334,-30.519373992476485,51.97411003236246,7.866244937209163,-6.284054574108526,1.0704376638125768,1.3546876051690377,1545,416671.2350258712,32.21219178082192,9.580677290836654,10,76.09561752988047,0.4404411764705882
10,3,Equal,322.06209905598166,43.36765231860926,1.2612340584797657,1.9818647107386755,1.484376039423779,-29.216082156273675,52.20403022670025,7.699398526276926,-6.144474781878504,1.0825850244570439,1.3686260063642606,1588,422062.0990559817,33.108712328767126,9.876494023904382,10,93.22709163346613,0.47757352941176473
10,3,Prob,327.325782833963,43.81287912560854,1.2684217346646005,1.996349273756178,1.4851413399388451,-29.500814466192598,52.20403022670025,7.69939888677261,-6.1444745453847895,1.082585325684784,1.368626123121914,1588,427325.782833963,33.108712328767126,9.876494023904382,10,93.22709163346613,0.5040441176470587
10,3,Kelly,413.2717454566915,50.55960763672487,1.3675922087328662,2.1881949429202483,1.8507877037578626,-27.317886073085536,51.664532650448145,7.77847243403365,-6.121295179557758,1.0599547975025911,1.358243319413912,1562,513271.7454566915,32.566630136986305,9.705179282868526,10,76.39442231075697,0.6889705882352941
